station _1,station _10,station _11,station _12,station _13,station _14,station _15,station _16,station _17,station _18,station _19,station _2,station _3,station _4,station _5,station _6,station _7,station _8,station _9
-16.61111111111111,-12.833333333333334,-13.833333333333332,-4.11111111111111,-19.5,-2.3888888888888893,-22.27777777777778,-8.88888888888889,-15.777777777777777,-13.833333333333332,-8.555555555555555,-7.444444444444444,-0.3333333333333341,-2.444444444444444,2.1111111111111094,-7.722222222222221,-4.333333333333334,-2.666666666666667,-17.72222222222222
-16.833333333333332,-13.333333333333332,-14.444444444444445,-4.555555555555555,-19.444444444444443,-2.111111111111112,-21.944444444444443,-9.61111111111111,-16.555555555555557,-14.222222222222223,-8.833333333333332,-6.111111111111111,0.2777777777777778,-2.722222222222221,2.055555555555557,-8.111111111111112,-5.277777777777778,-2.722222222222221,-18.166666666666668
-17.22222222222222,-13.77777777777778,-15.055555555555555,-4.944444444444444,-19.666666666666664,-2.5,-20.444444444444443,-10.499999999999998,-17.0,-15.0,-9.0,-5.0,0.7222222222222207,-2.8888888888888884,1.722222222222223,-8.5,-6.444444444444445,-2.7777777777777777,-18.499999999999996
-17.444444444444443,-14.166666666666666,-15.666666666666666,-5.277777777777778,-18.83333333333333,-3.6666666666666674,-18.5,-11.22222222222222,-17.444444444444443,-15.388888888888888,-9.055555555555555,-4.722222222222222,0.8888888888888896,-3.166666666666666,1.222222222222224,-8.833333333333332,-7.111111111111112,-2.7777777777777777,-18.88888888888889
-17.333333333333332,-14.388888888888888,-16.11111111111111,-5.611111111111112,-17.22222222222222,-5.222222222222221,-16.72222222222222,-11.722222222222223,-17.72222222222222,-15.333333333333334,-6.499999999999999,-4.944444444444444,0.8888888888888896,-3.277777777777777,0.6666666666666682,-9.0,-7.722222222222221,-2.9444444444444446,-19.11111111111111
-15.499999999999998,-14.944444444444445,-16.77777777777778,-5.944444444444444,-15.499999999999998,-6.277777777777778,-15.22222222222222,-12.055555555555555,-17.77777777777778,-15.61111111111111,-3.944444444444445,-6.722222222222223,0.6111111111111119,-3.3888888888888897,0.2222222222222214,-9.222222222222223,-8.055555555555555,-2.8888888888888884,-19.444444444444443
-13.555555555555554,-15.22222222222222,-17.22222222222222,-6.111111111111111,-14.333333333333334,-7.166666666666666,-14.222222222222223,-12.5,-18.0,-15.666666666666666,-2.2222222222222223,-9.277777777777777,0.0,-3.611111111111111,-0.0555555555555563,-9.444444444444445,-8.277777777777777,-2.2777777777777786,-19.5
-11.944444444444445,-15.555555555555555,-17.666666666666668,-6.555555555555555,-13.444444444444445,-7.944444444444445,-13.61111111111111,-12.888888888888888,-18.22222222222222,-15.944444444444445,-1.0000000000000004,-10.555555555555555,-0.8888888888888896,-3.611111111111111,-0.2222222222222214,-9.72222222222222,-8.5,-1.4999999999999996,-18.555555555555554
-10.611111111111112,-15.88888888888889,-17.27777777777778,-6.666666666666666,-12.999999999999998,-8.444444444444445,-13.38888888888889,-13.166666666666666,-18.33333333333333,-16.166666666666668,-0.166666666666667,-11.61111111111111,-1.4444444444444453,-3.055555555555556,-0.4444444444444448,-9.944444444444445,-8.722222222222221,-0.944444444444444,-16.666666666666668
-9.555555555555555,-15.944444444444445,-14.833333333333332,-6.888888888888888,-13.22222222222222,-8.833333333333332,-13.833333333333332,-13.444444444444445,-18.55555555555556,-16.055555555555554,0.3333333333333341,-12.22222222222222,-1.888888888888888,-1.7777777777777772,-0.4999999999999992,-10.166666666666666,-8.944444444444445,-0.4999999999999992,-14.333333333333334
-8.88888888888889,-14.833333333333332,-12.777777777777777,-7.166666666666666,-14.555555555555555,-9.166666666666666,-14.944444444444445,-13.77777777777778,-18.61111111111111,-16.0,0.4444444444444428,-12.833333333333334,-2.2222222222222223,-0.2222222222222214,-0.5555555555555556,-10.333333333333334,-9.11111111111111,-0.3333333333333341,-12.277777777777779
-8.444444444444445,-13.333333333333332,-10.88888888888889,-7.222222222222222,-15.499999999999998,-9.388888888888888,-16.833333333333332,-13.833333333333332,-18.666666666666668,-15.833333333333332,0.4444444444444428,-13.11111111111111,-2.5,0.777777777777777,-0.6111111111111119,-9.444444444444445,-9.222222222222223,-0.166666666666667,-10.666666666666666
-8.444444444444445,-11.888888888888888,-9.11111111111111,-6.388888888888888,-16.166666666666668,-9.666666666666666,-18.38888888888889,-14.055555555555555,-18.944444444444446,-15.88888888888889,-0.0555555555555563,-13.5,-2.722222222222221,1.3888888888888888,-0.6111111111111119,-7.944444444444445,-9.277777777777777,-0.1111111111111107,-9.61111111111111
-9.11111111111111,-10.555555555555555,-7.555555555555556,-5.499999999999999,-16.666666666666668,-9.88888888888889,-19.22222222222222,-14.277777777777777,-19.05555555555556,-15.166666666666666,-0.777777777777777,-13.88888888888889,-2.8888888888888884,1.722222222222223,-0.6666666666666663,-6.61111111111111,-9.5,-0.3333333333333341,-8.833333333333332
-10.555555555555555,-9.555555555555555,-6.444444444444445,-4.500000000000001,-17.166666666666664,-10.0,-20.0,-14.444444444444445,-18.944444444444446,-14.11111111111111,-2.3888888888888893,-14.277777777777777,-3.111111111111112,1.888888888888888,-0.8333333333333333,-5.444444444444445,-9.444444444444445,-0.7222222222222227,-8.61111111111111
-11.777777777777777,-8.777777777777779,-5.722222222222222,-3.6666666666666674,-17.444444444444443,-10.166666666666666,-20.33333333333333,-14.222222222222223,-18.38888888888889,-13.055555555555555,-3.777777777777778,-14.388888888888888,-3.2222222222222223,1.9444444444444444,-0.8888888888888896,-4.611111111111112,-8.5,-1.222222222222222,-9.055555555555555
-12.61111111111111,-8.222222222222223,-5.388888888888888,-2.9444444444444446,-17.72222222222222,-10.333333333333334,-20.666666666666668,-13.444444444444445,-17.666666666666668,-12.166666666666666,-4.833333333333333,-14.555555555555555,-3.2222222222222223,1.722222222222223,-0.944444444444444,-4.055555555555556,-7.222222222222222,-1.8333333333333337,-10.333333333333334
-13.38888888888889,-8.055555555555555,-5.555555555555555,-2.2222222222222223,-18.05555555555556,-10.499999999999998,-21.05555555555556,-12.333333333333332,-16.833333333333332,-11.555555555555555,-5.555555555555555,-14.833333333333332,-3.333333333333333,1.3888888888888888,-0.944444444444444,-3.5555555555555545,-6.333333333333332,-2.111111111111112,-12.277777777777779
-13.944444444444445,-8.222222222222223,-6.444444444444445,-1.722222222222223,-18.22222222222222,-10.388888888888888,-21.222222222222225,-11.22222222222222,-16.0,-11.27777777777778,-6.166666666666667,-14.88888888888889,-3.3888888888888897,0.4444444444444428,-0.8888888888888896,-3.5000000000000004,-5.388888888888888,-2.2222222222222223,-13.61111111111111
-14.5,-8.777777777777779,-8.555555555555555,-1.4999999999999996,-18.38888888888889,-8.833333333333332,-21.444444444444446,-10.0,-15.388888888888888,-11.11111111111111,-6.722222222222223,-15.166666666666666,-3.3888888888888897,-0.4999999999999992,-0.0555555555555563,-3.5555555555555545,-4.666666666666666,-2.3888888888888893,-14.555555555555555
-15.0,-9.72222222222222,-10.11111111111111,-1.4999999999999996,-18.61111111111111,-6.777777777777777,-21.77777777777778,-9.277777777777777,-14.833333333333332,-11.055555555555555,-7.222222222222222,-15.555555555555555,-3.5000000000000004,-1.0555555555555547,0.8333333333333333,-4.055555555555556,-4.222222222222223,-2.5,-15.166666666666666
-15.444444444444445,-10.611111111111112,-10.88888888888889,-1.8333333333333337,-18.666666666666668,-5.111111111111111,-22.0,-8.666666666666668,-14.555555555555555,-11.444444444444445,-7.5,-13.833333333333332,-3.277777777777777,-1.3888888888888888,1.3888888888888888,-5.0,-3.722222222222222,-2.555555555555556,-15.833333333333332
-15.88888888888889,-11.444444444444445,-11.833333333333334,-2.6111111111111107,-18.88888888888889,-3.944444444444445,-22.166666666666664,-8.333333333333334,-14.666666666666666,-12.055555555555555,-7.777777777777778,-11.61111111111111,-2.2222222222222223,-1.722222222222223,1.7777777777777792,-6.277777777777778,-3.6666666666666674,-2.6111111111111107,-16.38888888888889
-16.22222222222222,-12.22222222222222,-12.777777777777777,-3.333333333333333,-19.05555555555556,-2.9444444444444446,-22.38888888888889,-8.222222222222223,-14.88888888888889,-13.11111111111111,-8.111111111111112,-9.5,-1.1666666666666674,-2.055555555555555,2.000000000000001,-7.111111111111112,-3.611111111111111,-2.722222222222221,-16.833333333333332
-16.444444444444446,-12.666666666666666,-13.666666666666668,-3.8333333333333326,-19.05555555555556,-2.3888888888888893,-22.5,-8.5,-15.444444444444445,-13.77777777777778,-8.333333333333334,-7.444444444444444,-0.2777777777777778,-2.2222222222222223,2.000000000000001,-7.722222222222221,-4.0,-2.833333333333334,-17.38888888888889
